,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
105,攻击活动分析报告 (181),新网络钓鱼活动针对美国国家电网传播Adwind,2019/8/19,暂无数据,['暂无数据'],暂无数据,Cofense研究人员发现在美国国家电网基础设施传播Adwind恶意软件的网络钓鱼活动。网络钓鱼电子邮件来自一个被劫持的Friary Shoes账户，主题为需要签名的汇款通知。邮件包含伪装成PDF文件附件的图像，实际为带有嵌入式超链接的jpg文件，用户点击后，将从受感染的URL下载“.JAR”文件形式的初始有效载荷。执行后，创建两个java.exe进程，加载两个单独的.class文件，然后JRAT向C2服务器发送信标，完成Adwind恶意软件的安装。Adwind还试图使用takskill.exe禁用流行分析工具和防病毒软件来规避检测。
106,攻击活动分析报告 (181),“蠕虫+挖矿”组合型恶意活动，利用NSA漏洞横向移动,2019/8/19,暂无数据,"['供应链攻击', '漏洞利用', '木马后门']",暂无数据,"Bitdefender研究人员发现结合蠕虫和加密货币挖矿功能的恶意活动，该恶意软件使用了NSA漏洞(MS17-010)和Microsoft SQL Server漏洞来进行横向移动。如果发现受害者机器上运行流行游戏程序，便会暂停挖矿以保持稳定性。恶意负载通过潜在有害应用程序(PUA)的供应链进行分发。蠕虫同时使用Mimikatz和registry凭据转储程序来查找用户帐户,并且在不同的源中寻找IP地址(包括随机生成)，然后试图感染这些IP的整个子网(CIDR/24)。大多数情况下通过HTTP的80端口与C2进行通信，挖矿程序通过443端口上的特定协议((Stratum)与矿池通信。"
107,攻击活动分析报告 (181),游戏结束：检测并停止APT41操作,2019/8/19,暂无数据,"['木马后门', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",APT41,2019年4月，FireEye管理防御团队在美国一所研究型大学公开访问的网络服务器上发现APT41组织的可疑活动。此活动表明攻击者正在利用Atlassian Confluence Server中的一个漏洞CVE-2019-3396，该漏洞允许路径遍历和远程代码执行。攻击者利用开源的漏洞利用代码作为代码执行工具，下载并执行恶意负载，并部署HIGHNOON后门。后门下载ACEHASH dropper和加密/压缩载荷组件，用于凭证窃取和密码转储。
108,攻击活动分析报告 (181),通过托管检测和响应发现具有Bootloader持久性的MyKings变体,2019/8/19,暂无数据,"['木马后门', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",暂无数据,趋势科技揭露了针对亚太地区电子公司的恶意网络活动，该活动持续了两年之久。恶意活动中使用到了Mykings僵尸木马变种，该变种通过与脚本捆绑在一起，从远程服务器下载其他负载。恶意程序通过bootkit实现持久化，并且会检查MBR是否已经感染了其他bootkit。恶意代码注入内核模式进程以实现持久性，通过异步过程调用（APC）注入将恶意软件代码写入用户域进程，并终止系统中的所有防病毒进程。用户域进程中注入的恶意代码主要任务是连接C2，并下载Mykings主下载器。主下载器通过请求并更新其C2服务器地址表，以避免被发现。
109,攻击活动分析报告 (181),勒索病毒利用Flash漏洞挂马攻击，色情网站为传播源头,2019/8/15,暂无数据,"['漏洞利用', '勒索软件']",暂无数据,腾讯安全御见威胁情报中心监测到Pardise(天堂)勒索病毒呈小范围爆发。此次攻击中，黑客通过在色情网站某些页面中嵌入带有CVE-2018-4878 Flash漏洞攻击代码的SWF文件，当网民访问色情网站时，触发恶意代码，导致电脑被勒索病毒感染，中毒用户会被勒索比特币。 该病毒检测到用户为俄罗斯、乌克兰、白俄罗斯、哈萨克斯坦等国家时不会加密用户文件。
110,攻击活动分析报告 (181),Orcus木马传播，利用Sendgrid平台绕过电子邮件网关,2019/8/14,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,Cofense研究人员发现一场传播Orcus RAT木马的钓鱼邮件活动。该活动使用伪装成来自商业改善局(Better Business Bureau)的电子邮件投诉。恶意邮件提示用户通过Sendgrid 下载文件。Sendgrid 是一个通信平台，常用于合法的业务应用程序，因此通常被安全设备列入白名单，攻击者利用这种方式避开电子邮件网关。点击访问链接时，受害者被重定向到指向恶意Zip文档的链接地址。然后恶意文档试图通过WScript下载后门，后门具备收集系统信息和进行反向代理等功能，活动中使用的C2地址属于动态域共享项目。
111,攻击活动分析报告 (181),针对巴尔干地区的攻击活动，使用BalkanDoor和BalkanRAT,2019/8/14,暂无数据,"['漏洞利用', '木马后门']",暂无数据,ESET研究人员发现了一场针对巴尔干地区企业财务部门的恶意活动。活动中使用后门BalkanDoor和远程访问木马BalkanRAT。恶意负载通过带有税收主题的电子邮件传播，里面包含模仿官方机构网站的恶意链接，该链接指向伪装成税务局文件的WinRAR软件自解包程序。一旦受害者下载此恶意执行程序，便会安装后门和木马。最新版本的BalkanDoor后门使用了WinRAR ACE漏洞(CVE-2018-20250)安装和执行。BalkanRAT的目标是部署Remote Utilities软件的副本，以保证通信的合法性。攻击者使用购买的不同证书对后门和木马进行数字签名，以增加合法性。该活动还针对克罗地亚，塞尔维亚，黑山和波斯尼亚和黑塞哥维那。
112,攻击活动分析报告 (181),在野的GoBrut新版本,2019/8/13,暂无数据,"['木马后门', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",暂无数据,"国外研究人员发现一个受到破坏的网站，里面包含大量的恶意ELF二进制文件，这些文件均是同一个样本(GoBrut僵尸木马变种)的副本。木马通过路径“bots / knock”与C2进行通信，并检测是否需要更新其版本。与以前版本不一致的地方是，新变种会以JSON格式检索目标列表并尝试访问。研究人员发现攻击者创建的一个名为” wpBrt”(WordPress Brute Forcing)攻击活动项目, 利用暴力破解方式攻击了超过27万个第三方网站。其中遭受攻击的顶级域名大部分位于EMEA(欧洲、中东和非洲)地区。"
113,攻击活动分析报告 (181),新版本PsiXBot使用短链接搜索DNS服务器,2019/8/13,暂无数据,"['僵尸网络', '恶意扫描', '木马后门']",暂无数据,Proofpoint研究人员发现新版PsiXBot恶意软件的攻击活动。新版PsiXBot检查受感染机器的安装语言，如果是俄语将退出，使用短链接收集每个C&amp;C域的当前DNS服务器，具体过程为：首先对要使用的DNS服务器的十六进制编码的IP地址的非预期GET请求；Ping到DNS服务器IP地址以获取连接状态；对.bit域的DNS查询，返回C＆C IP地址；Ping到C＆C IP地址以获取连接状态；最后收集到C＆C域的HTTPS流量。新版本PsiXBot还包含多个新模块，可实现删除正在运行的僵尸网络进程、监视剪贴板中加密货币钱包地址并窃取、表单抓取、使用Microsoft Outlook发送出站电子邮件等功能。
114,攻击活动分析报告 (181),模仿CEO的网络钓鱼活动绕过了微软的网关，目标指向能源行业,2019/8/13,暂无数据,"['漏洞利用', '水坑式攻击', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,国外研究人员发现高度自定义的凭据窃取网络钓鱼活动，针对能源行业公司。该活动模仿目标公司的首席执行官，通过Google Drive与收件人分享重要信息。钓鱼邮件中使用的关键信息包括CEO的姓名，业务决策和公司徽标。该电子邮件通过Google Drive合法地发送给员工，使得攻击者能够绕过电子邮件安全网关，特别是微软Exchange在线保护，并最终到达目标用户。
115,攻击活动分析报告 (181),近期云图活动,2019/8/12,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,从2019年初到7月，卡巴斯基研究人员确定了多起Cloud Atlas组织发起的网络钓鱼活动，攻击目标主要集中在俄罗斯、中亚和乌克兰独立地区。新攻击活动中，Cloud Atlas使用了新“多态”感染链，在感染后不再直接依赖验证器植入工具PowerShower，而执行在远程服务器上的多态HTA，该HTA用于向本地系统释放三个不同文件，具体为代替PowerShower作为验证器的多态VBShower后门；用于VBShower的小型启动器；由HTA计算的文件，包含上下文数据，如当前用户、域、计算机名和活动进程列表。VBShower将HTA计算的上下文文件发送到远程服务器，并尝试每小时通过HTTP从远程服务器执行一个VBS脚本。研究人员已经看到两个VBS文件被推送到目标计算机。第一个是PowerShower的安装程序，第二个是Cloud Atlas第二阶段模块化后门的安装程序，后门通过Webdav与云存储服务进行通信。
116,攻击活动分析报告 (181),立即进行威胁分析–在野发现新的Dharma勒索软件毒株,2019/8/12,暂无数据,"['僵尸网络', '恶意扫描', '木马后门']",暂无数据,Cymulate研究人员发现勒索软件Dharma新变种的攻击活动。Dharma自2016年开始运营，通常通过网络钓鱼传播，新变种通过使用真正的ESET反病毒软件移除器，提供给用户从系统卸载该软件来引诱用户安装勒索软件。一旦用户执行可执行文件，该变种将加密所有系统的文件，文件扩展名为“.nqix”，并删除了恢复本地系统备份选项。然后在受害者系统屏幕上弹出消息“所有文件被RSA1024加密”并带有特定的ID。该变种编写方式简单，没有被打包，通过存储rc4加密的dll和导入名称数组来混淆其导入 ，通过添加注册表项建立持久性。为了确保在SQL相关机器和邮箱上的加密，该变种会停止服务并终止进程，特别是Firebird Guardian、SQL和Microsoft Outlook等进程。
117,攻击活动分析报告 (181),针对美国公用事业部门的恶意活动，使用LookBack远程访问木马,2019/8/1,暂无数据,['暂无数据'],暂无数据,Proofpoint研究人员最近发现一起针对美国公用事业部门的网络钓鱼攻击活动。钓鱼邮件模仿某个美国工程许可委员会，其中包含恶意Microsoft Word附件，该附件使用宏来安装和运行 “LookBack”远程访问木马。LookBack木马依赖于GUP代理通信工具传递数据 ，除此之外，还包括SodomNormal通信模块和SodomMain远程访问组件。研究人员发现该恶意活动中使用的宏与APT10组织在2018年针对日本企业的攻击活动中使用的宏存在相似之处，但目前不存在相关的基础设施关联。
118,攻击活动分析报告 (181),Kimsuky背后组织推出“Smoke Screen”APT活动，针对韩国和美国,2019/7/30,暂无数据,['暂无数据'],Kimsuky,"ESRC研究人员在2019年4月11日发现针对韩国和美国的鱼叉式钓鱼网络攻击，该攻击针对韩国涉及朝鲜问题的人员。研究人员认为该活动是""Operation Stealth Power""恶意活动的延伸，因为相关恶意文档使用了与""Operation Stealth Power""活动中相同的“Tom”帐户进行注册。攻击活动利用hwp恶意文档漏洞加载恶意负载。"
